Retention;MaxLevelPassed;User_id;AB_Cohort;SumRevenue;CountBuy;CountAllStart;CountAllFinish;CountCleanStart;CountCleanFinish;Get_Ads;Get_Chapter;Get_Buy;Get_Faceb;Get_TeamL;Get_TeamT;Spend_BonLives;Spend_Bonus;Spend_Boost;Spend_Lives;Spend_Moves;Spend_TeamC
0;46;1;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;46;2;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;15;3;A;0;0;18;15;14;11;0;0;0;0;0;0;0;0;0;0;0;0
0;3;4;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;35;5;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;46;6;A;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;7;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;17;8;A;0;0;48;26;41;22;0;0;0;0;0;0;0;0;0;0;2970;0
0;0;9;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;8;9;A;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
2;21;9;A;0;0;4;2;4;2;0;0;0;0;0;100;0;0;0;0;0;0
6;21;9;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;13;10;A;0;0;15;13;11;10;0;0;0;0;0;0;0;0;0;0;2970;0
0;15;11;A;0;0;16;15;13;12;0;0;0;0;0;0;0;0;0;0;0;0
1;22;11;A;0;0;18;7;14;5;0;0;0;0;0;100;0;0;0;0;2970;0
2;22;11;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
3;22;11;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;33;12;A;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;50;13;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
