User_id,Retention,MaxLevelPassed,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC
1,0,46,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,46,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,15,A,0,0,18,15,14,11,0,0,0,0,0,0,0,0,0,0,0,0
4,0,3,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,35,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,46,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,17,A,0,0,48,26,41,22,0,0,0,0,0,0,0,0,0,0,2970,0
9,6,21,A,0,0,6,4,6,4,0,0,0,0,0,100,0,0,0,0,0,0
10,0,13,A,0,0,15,13,11,10,0,0,0,0,0,0,0,0,0,0,2970,0
11,3,22,A,0,0,39,22,32,17,0,0,0,0,0,100,0,0,0,0,2970,0
12,0,33,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,50,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,50,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,26,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,50,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,18,A,0,0,27,18,20,13,0,0,0,0,0,0,0,0,0,0,1980,0
18,7,27,A,0,0,250,25,245,24,500,0,0,0,0,100,0,0,0,0,3580,0
19,0,44,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,52,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,31,A,0,0,47,31,38,26,300,0,0,0,0,100,0,0,0,0,2970,0
22,0,14,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,22,A,0,0,48,22,44,19,100,0,0,0,0,100,0,0,0,0,2590,0
24,0,57,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,2,A,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,3,11,A,0,0,16,11,13,9,0,0,0,0,0,0,0,0,0,0,0,0
27,0,52,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,3,A,0,0,3,3,3,3,0,0,0,2000,0,0,0,0,0,0,0,0
29,0,38,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,9,A,0,0,10,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0
31,0,18,A,0,0,25,18,20,13,0,0,0,0,0,0,0,0,0,0,2970,0
32,0,35,A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,43,A,0,0,99,44,94,39,100,220,0,0,0,100,0,0,0,0,1980,0
34,0,34,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,41,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,14,A,0,0,27,14,17,10,0,0,0,0,0,0,0,0,0,0,2590,0
37,0,55,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,56,A,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,0,9,A,0,0,11,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0
