User_id,Retention,MaxLevelPassed,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC
1,7,55,B,123,1,140,54,120,39,200,170,10000,2000,0,100,0,0,0,0,12720,0
2,2,45,B,0,0,133,45,118,37,200,340,0,0,0,100,0,900,0,0,990,0
3,0,71,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,70,B,0,0,411,76,401,73,100,180,0,0,0,100,0,0,0,0,2970,0
5,5,46,B,0,0,102,48,94,44,400,240,0,0,0,100,0,0,0,0,0,0
6,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,20,B,0,0,25,20,18,14,0,0,0,0,0,100,0,0,0,0,1980,0
9,0,1,B,0,0,1,1,1,1,0,0,0,2000,0,0,0,0,0,0,0,0
10,0,71,B,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,20,B,0,0,27,20,24,17,0,0,0,0,0,0,0,0,0,0,0,0
12,5,13,B,0,0,47,13,41,12,0,0,0,0,0,0,0,0,0,0,2590,0
13,0,15,B,0,0,16,15,12,12,0,0,0,2000,0,0,0,0,0,0,3580,0
14,1,8,B,0,0,8,8,6,6,0,0,0,0,0,0,0,0,0,0,990,0
15,0,5,B,0,0,7,5,5,3,0,0,0,0,0,0,0,0,0,0,2590,0
16,0,68,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,68,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,34,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,66,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,7,B,0,0,7,7,5,5,0,0,0,2000,0,0,0,0,0,0,0,0
21,3,39,B,0,0,210,68,199,61,0,280,0,0,60,100,0,0,0,0,2590,0
22,0,34,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,68,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7,58,B,0,0,289,59,272,51,0,240,0,0,0,100,0,0,0,0,2970,0
