Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC,Paying
0,39,1,B,0,0,72,38,63,30,0,170,0,2000,0,100,0,0,0,0,1980,0,True
1,45,1,B,0,0,25,6,24,6,100,0,0,0,0,0,0,0,0,0,0,0,True
3,47,1,B,0,0,9,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,True
4,53,1,B,123,1,24,6,20,2,100,0,10000,0,0,0,0,0,0,0,6170,0,True
6,55,1,B,0,0,10,2,5,0,0,0,0,0,0,0,0,0,0,0,4570,0,True
7,55,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,39,2,B,0,0,90,39,79,32,100,340,0,0,0,100,0,900,0,0,990,0,False
1,43,2,B,0,0,35,4,31,3,100,0,0,0,0,0,0,0,0,0,0,0,False
2,45,2,B,0,0,8,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,False
0,71,3,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,17,4,B,0,0,27,17,22,14,0,0,0,0,0,0,0,0,0,0,990,0,False
2,25,4,B,0,0,24,8,24,8,100,0,0,0,0,100,0,0,0,0,0,0,False
3,34,4,B,0,0,59,9,58,9,0,0,0,0,0,0,0,0,0,0,0,0,False
4,46,4,B,0,0,79,12,75,12,0,180,0,0,0,0,0,0,0,0,1980,0,False
5,58,4,B,0,0,100,19,100,19,0,0,0,0,0,0,0,0,0,0,0,0,False
6,63,4,B,0,0,55,4,55,4,0,0,0,0,0,0,0,0,0,0,0,0,False
7,70,4,B,0,0,67,7,67,7,0,0,0,0,0,0,0,0,0,0,0,0,False
0,32,5,B,0,0,68,34,63,32,100,0,0,0,0,100,0,0,0,0,0,0,False
1,37,5,B,0,0,13,5,13,5,100,240,0,0,0,0,0,0,0,0,0,0,False
2,39,5,B,0,0,5,2,5,2,100,0,0,0,0,0,0,0,0,0,0,0,False
5,46,5,B,0,0,16,7,13,5,100,0,0,0,0,0,0,0,0,0,0,0,False
0,0,6,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,0,7,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,15,8,B,0,0,18,15,12,10,0,0,0,0,0,0,0,0,0,0,990,0,False
1,20,8,B,0,0,7,5,6,4,0,0,0,0,0,100,0,0,0,0,990,0,False
0,1,9,B,0,0,1,1,1,1,0,0,0,2000,0,0,0,0,0,0,0,0,False
0,71,10,B,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,5,11,B,0,0,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,False
1,15,11,B,0,0,12,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,False
7,20,11,B,0,0,10,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,False
0,12,12,B,0,0,20,12,18,11,0,0,0,0,0,0,0,0,0,0,2590,0,False
1,12,12,B,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,13,12,B,0,0,22,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,15,13,B,0,0,16,15,12,12,0,0,0,2000,0,0,0,0,0,0,3580,0,False
0,8,14,B,0,0,8,8,6,6,0,0,0,0,0,0,0,0,0,0,990,0,False
1,8,14,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,5,15,B,0,0,7,5,5,3,0,0,0,0,0,0,0,0,0,0,2590,0,False
0,68,16,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,68,17,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,34,18,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,66,19,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,1,20,B,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
4,7,20,B,0,0,6,6,4,4,0,0,0,2000,0,0,0,0,0,0,0,0,False
0,17,21,B,0,0,47,35,42,31,0,0,0,0,0,0,0,0,0,0,2590,0,False
1,39,21,B,0,0,138,26,134,24,0,280,0,0,30,100,0,0,0,0,0,0,False
3,39,21,B,0,0,25,7,23,6,0,0,0,0,30,0,0,0,0,0,0,0,False
0,34,22,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,0,23,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,68,24,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,0,25,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,22,26,B,0,0,43,22,39,19,0,0,0,0,0,100,0,0,0,0,0,0,False
1,25,26,B,0,0,13,3,10,2,0,0,0,0,0,0,0,0,0,0,990,0,False
2,35,26,B,0,0,45,10,43,10,0,240,0,0,0,0,0,0,0,0,0,0,False
3,46,26,B,0,0,83,11,81,9,0,0,0,0,0,0,0,0,0,0,1980,0,False
4,50,26,B,0,0,37,4,32,2,0,0,0,0,0,0,0,0,0,0,0,0,False
5,57,26,B,0,0,33,8,33,8,0,0,0,0,0,0,0,0,0,0,0,0,False
6,58,26,B,0,0,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,False
7,58,26,B,0,0,25,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,34,27,B,0,0,68,36,64,32,0,0,0,0,0,100,0,0,0,0,0,0,False
1,42,27,B,0,0,34,8,31,7,100,420,0,0,0,0,0,0,0,0,0,0,False
3,49,27,B,0,0,20,7,20,7,100,0,0,0,0,0,0,0,0,0,0,0,False
4,52,27,B,0,0,19,3,19,3,100,0,0,0,40,0,0,0,0,0,0,0,False
5,55,27,B,0,0,8,3,8,3,100,0,0,0,0,0,0,0,0,0,0,0,False
6,56,27,B,0,0,10,6,10,6,100,0,0,0,0,0,0,0,0,0,0,0,False
0,72,28,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,34,29,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,32,30,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,11,31,B,0,0,11,11,7,7,0,0,0,2000,0,0,0,0,0,0,4570,0,False
0,10,32,B,0,0,10,10,9,9,0,0,0,2000,0,0,0,0,0,0,0,0,False
0,17,33,B,0,0,28,17,22,12,0,0,0,2000,0,0,0,900,0,0,990,0,False
4,20,33,B,0,0,7,3,5,1,0,0,0,0,0,100,0,0,0,0,2590,0,False
0,14,34,B,0,0,18,14,15,12,0,0,0,0,0,0,0,0,0,0,0,0,False
1,39,34,B,0,0,66,25,56,18,0,290,0,0,0,100,0,0,1900,0,0,0,False
2,41,34,B,0,0,11,2,7,1,100,0,0,0,0,0,0,0,0,0,0,0,False
